zip3,year,quarter,hpi_index
10,1995,1,100.0
10,1995,2,101.36
10,1995,3,103.65
10,1995,4,103.63
10,1996,1,104.92
10,1996,2,103.49
10,1996,3,102.94
10,1996,4,103.61
10,1997,1,104.03
10,1997,2,104.96
10,1997,3,105.36
10,1997,4,106.49
10,1998,1,107.87
10,1998,2,108.54
10,1998,3,109.07
10,1998,4,110.46
10,1999,1,110.79
10,1999,2,111.76
10,1999,3,114.76
10,1999,4,115.04
10,2000,1,117.16
10,2000,2,117.8
10,2000,3,119.8
10,2000,4,121.49
10,2001,1,124.77
10,2001,2,126.78
10,2001,3,130.25
10,2001,4,131.06
10,2002,1,134.3
10,2002,2,138.06
10,2002,3,142.48
10,2002,4,145.02
10,2003,1,147.5
10,2003,2,150.35
10,2003,3,154.57
10,2003,4,161.19
10,2004,1,163.84
10,2004,2,169.86
10,2004,3,177.93
10,2004,4,182.88
10,2005,1,188.1
10,2005,2,194.1
10,2005,3,199.4
10,2005,4,202.47
10,2006,1,204.2
10,2006,2,205.08
10,2006,3,203.67
10,2006,4,207.01
10,2007,1,208.17
10,2007,2,207.43
10,2007,3,206.09
10,2007,4,207.61
10,2008,1,206.66
10,2008,2,201.58
10,2008,3,195.51
10,2008,4,195.79
10,2009,1,198.37
10,2009,2,193.27
10,2009,3,191.17
10,2009,4,192.02
10,2010,1,190.88
10,2010,2,188.57
10,2010,3,190.67
10,2010,4,190.27
10,2011,1,187.03
10,2011,2,185.08
10,2011,3,184.62
10,2011,4,184.37
10,2012,1,183.43
10,2012,2,182.51
10,2012,3,182.64
10,2012,4,183.64
10,2013,1,182.3
10,2013,2,182.47
10,2013,3,181.99
10,2013,4,183.3
10,2014,1,180.93
10,2014,2,183.24
10,2014,3,185.18
10,2014,4,185.48
10,2015,1,185.86
10,2015,2,187.24
10,2015,3,190.08
10,2015,4,187.54
10,2016,1,187.74
10,2016,2,191.65
10,2016,3,193.04
10,2016,4,193.47
10,2017,1,194.09
10,2017,2,197.08
10,2017,3,197.49
10,2017,4,200.54
10,2018,1,200.63
10,2018,2,204.76
10,2018,3,205.72
10,2018,4,205.93
10,2019,1,205.75
10,2019,2,211.27
10,2019,3,214.79
10,2019,4,215.9
10,2020,1,217.89
10,2020,2,219.63
10,2020,3,225.23
10,2020,4,231.8
10,2021,1,237.6
10,2021,2,247.27
10,2021,3,262.25
10,2021,4,267.61
10,2022,1,274.14
10,2022,2,284.33
10,2022,3,290.23
10,2022,4,286.01
10,2023,1,300.07
10,2023,2,299.72
10,2023,3,307.39
10,2023,4,312.04
10,2024,1,310.94
10,2024,2,327.02
10,2024,3,326.24
10,2024,4,330.6
10,2025,1,333.31
10,2025,2,343.96
10,2025,3,343.28
10,2025,4,347.81
11,1995,1,100.0
11,1995,2,103.15
11,1995,3,105.69
11,1995,4,106.5
11,1996,1,107.88
11,1996,2,106.9
11,1996,3,101.17
11,1996,4,102.96
11,1997,1,104.41
11,1997,2,107.04
11,1997,3,107.27
11,1997,4,106.35
11,1998,1,111.59
11,1998,2,112.63
11,1998,3,113.66
11,1998,4,114.87
11,1999,1,115.4
11,1999,2,115.41
11,1999,3,118.06
11,1999,4,116.99
11,2000,1,120.57
11,2000,2,120.82
11,2000,3,124.03
11,2000,4,126.22
11,2001,1,130.21
11,2001,2,132.93
11,2001,3,134.0
11,2001,4,139.56
11,2002,1,142.64
11,2002,2,147.79
11,2002,3,150.63
11,2002,4,154.61
11,2003,1,158.69
11,2003,2,159.66
11,2003,3,165.34
11,2003,4,169.41
11,2004,1,173.9
11,2004,2,178.7
11,2004,3,185.87
11,2004,4,190.81
11,2005,1,195.76
11,2005,2,197.21
11,2005,3,207.8
11,2005,4,211.65
11,2006,1,213.39
11,2006,2,213.96
11,2006,3,214.04
11,2006,4,217.03
11,2007,1,214.11
11,2007,2,218.83
11,2007,3,212.21
11,2007,4,213.54
11,2008,1,209.41
11,2008,2,201.96
11,2008,3,197.02
11,2008,4,194.18
11,2009,1,198.17
11,2009,2,193.24
11,2009,3,191.04
11,2009,4,192.44
11,2010,1,190.59
11,2010,2,188.17
11,2010,3,189.89
11,2010,4,190.64
11,2011,1,182.6
11,2011,2,183.84
11,2011,3,183.56
11,2011,4,184.18
11,2012,1,182.29
11,2012,2,177.88
11,2012,3,179.66
11,2012,4,181.72
11,2013,1,177.04
11,2013,2,180.49
11,2013,3,178.49
11,2013,4,180.6
11,2014,1,177.96
11,2014,2,184.06
11,2014,3,183.42
11,2014,4,181.98
11,2015,1,184.39
11,2015,2,185.5
11,2015,3,189.65
11,2015,4,186.31
11,2016,1,185.94
11,2016,2,189.67
11,2016,3,192.17
11,2016,4,192.1
11,2017,1,189.59
11,2017,2,203.38
11,2017,3,204.59
11,2017,4,198.9
11,2018,1,207.82
11,2018,2,213.52
11,2018,3,215.39
11,2018,4,213.39
11,2019,1,219.5
11,2019,2,220.02
11,2019,3,225.05
11,2019,4,225.18
11,2020,1,230.39
11,2020,2,234.63
11,2020,3,237.61
11,2020,4,247.71
11,2021,1,253.85
11,2021,2,274.18
11,2021,3,284.13
11,2021,4,294.98
11,2022,1,306.86
11,2022,2,322.77
11,2022,3,331.01
11,2022,4,324.13
11,2023,1,319.98
11,2023,2,332.18
11,2023,3,340.65
11,2023,4,350.69
11,2024,1,346.33
11,2024,2,363.11
11,2024,3,369.46
11,2024,4,377.75
11,2025,1,383.9
11,2025,2,374.84
11,2025,3,391.95
11,2025,4,399.08
12,1995,1,100.0
12,1995,2,107.1
12,1995,3,108.53
12,1995,4,111.53
12,1996,1,111.28
12,1996,2,106.8
12,1996,3,110.24
12,1996,4,117.37
12,1997,1,112.37
12,1997,2,112.2
12,1997,3,110.34
12,1997,4,115.16
12,1998,1,114.95
12,1998,2,114.17
12,1998,3,115.09
12,1998,4,115.55
12,1999,1,117.97
12,1999,2,115.94
12,1999,3,120.87
12,1999,4,122.57
12,2000,1,126.29
12,2000,2,122.68
12,2000,3,124.07
12,2000,4,130.43
12,2001,1,132.28
12,2001,2,134.36
12,2001,3,134.29
12,2001,4,138.08
12,2002,1,141.28
12,2002,2,144.66
12,2002,3,150.16
12,2002,4,153.17
12,2003,1,155.59
12,2003,2,156.69
12,2003,3,161.91
12,2003,4,169.75
12,2004,1,170.85
12,2004,2,175.72
12,2004,3,183.0
12,2004,4,190.73
12,2005,1,191.51
12,2005,2,199.59
12,2005,3,205.24
12,2005,4,206.47
12,2006,1,214.96
12,2006,2,215.91
12,2006,3,216.53
12,2006,4,219.47
12,2007,1,220.66
12,2007,2,219.83
12,2007,3,218.88
12,2007,4,220.62
12,2008,1,221.07
12,2008,2,218.1
12,2008,3,207.67
12,2008,4,216.79
12,2009,1,217.5
12,2009,2,213.08
12,2009,3,212.17
12,2009,4,207.84
12,2010,1,210.97
12,2010,2,206.18
12,2010,3,208.97
12,2010,4,208.45
12,2011,1,204.24
12,2011,2,204.01
12,2011,3,201.07
12,2011,4,205.74
12,2012,1,206.47
12,2012,2,202.17
12,2012,3,202.15
12,2012,4,200.97
12,2013,1,204.89
12,2013,2,201.65
12,2013,3,197.27
